,Negative Sense Word List,Positive Sense Word List
443,brutality,craftsman
444,brutalize,craftsmanship
445,brutalizing,cratfy
446,brutally,cream
447,brute,creamy
448,brutish,create
449,buckle,creation
450,bug,creative
451,bugging,creativity
452,buggy,creator
453,bugs,credence
454,bulimia,credential
455,bulkier,credibility
456,bulkiness,credible
457,bulky,credit
458,bull****,creditable
459,bullies,crew
460,bulls,crowd
461,bulls..t,crowd-pleaser
462,bullshit,crowd-puller
463,bully,crucial
464,bullying,crystal
465,bullyingly,crystal-clear
466,bull—-,crystalize
467,bum,cucumber
468,bump,cuddle
469,bumped,cuddlesome
470,bumping,cuddly
471,bumps,culminate
472,bumpy,culmination
473,bungle,cultural
474,bungler,culture
475,bungling,cultured
476,bunk,cunning
477,burden,cunningly
478,burdensome,cupid
479,burdensomely,curator
480,burn,cure
481,burned,cure-all
482,burning,curiosity
483,burns,curious
484,bust,current
485,busts,curvaceous
486,busybody,cushion
487,butcher,cushy
488,butchery,cute
489,buzzing,da
490,byzantine,dainty
491,cackle,dandle
492,cagey,dandy
493,calamities,danke
494,calamitous,danken
495,calamitously,dapper
496,calamity,daring
497,calculating,daringly
498,callous,darling
499,calumniate,dashing
500,calumniation,dauntless
501,calumnies,dazzle
502,calumnious,dazzled
503,calumniously,dazzling
504,calumny,dead
505,can't,dead-cheap
506,cancer,dead-on
507,cancerous,dear
508,cannibal,debonair
509,cannibalize,decency
510,capitulate,decent
511,capricious,decisive
512,capriciously,decisiveness
513,capriciousness,decorous
514,capsize,dedicated
515,careless,deductive
516,carelessness,deep
517,caricature,defeat
518,carnage,defeating
519,carp,defender
520,cartoonish,deference
521,cash-strapped,definite
522,castigate,definitive
523,castrated,deft
524,casualty,delectable
525,cataclysm,deliberate
526,cataclysmal,delicacy
527,cataclysmic,delicate
528,cataclysmically,delicious
529,catastrophe,deliciousness
530,catastrophes,delight
531,catastrophic,delighted
532,catastrophically,delightful
533,caustic,delightfully
534,caustically,delightfulness
535,cautionary,deluxe
536,cave,democratic
537,censure,demonstrative
538,chafe,demulcent
539,chaff,deo-gratias
540,chagrin,deo-volente
541,challenging,dependability
542,chaos,dependable
543,chaotic,dependably
544,chasten,deservedly
545,chastise,deserving
546,chastisement,desirable
547,chatter,desire
548,chatterbox,desired
549,cheap,desiring
550,cheapen,desirous
551,cheaply,destined
552,cheat,destiny
553,cheated,determination
554,cheater,determined
555,cheating,developed
556,cheats,developing
557,checkered,devoted
558,cheerless,devotion
559,cheesy,devotional
560,chide,devout
561,childish,dexterity
562,chill,dexterous
563,chilly,dexterously
564,chintzy,dialectic
565,choke,diamond
566,choleric,didactic
567,choppy,diddums
568,chore,die-hard
569,chronic,different
570,chubby,dignified
571,chunky,dignify
572,clamor,dignity
573,clamorous,diligence
574,clash,diligent
575,clique,diligently
576,clog,dinger
577,clogged,dinkum
578,clogs,dip
579,cloud,diplomatic
580,clouding,direct
581,cloudy,dirt-cheap
582,clueless,disarming
583,clumsy,disburden
584,clunky,discerning
585,coarse,discipline
586,cocky,disciplined
587,coerce,discovery
588,coercion,discreet
589,coercive,discretion
590,cold,discriminating
591,cold-hearted,dispassionate
592,coldly,distinct
593,collapse,distinction
594,collude,distinctive
595,collusion,distinguished
596,combative,diverse
597,combust,diversified
598,comical,diversity
599,commiserate,diverting
600,commonplace,divine
601,commotion,divinely
602,commotions,divinity
603,complacent,divinize
604,complain,doable
605,complained,doddle
606,complaining,doll
607,complains,dolly
608,complaint,dominant
609,complaints,dominate
610,complex,donate
611,complicated,donation
612,complication,doozy
613,complicit,dope
614,compulsion,doss
615,compulsive,dote
616,concede,doting
617,conceded,dotingly
618,conceit,doubtless
619,conceited,doughty
620,concern,dovelike
621,concerned,down-to-earth
622,concerns,downy
623,concession,dream
624,concessions,dreamland
625,condemn,dreamy
626,condemnable,dressing
627,condemnation,dressy
628,condemned,drive
629,condemns,driven
630,condescend,driving
631,condescending,drop
632,condescendingly,ducky
633,condescension,dude
634,confess,due
635,confession,dulcet
636,confessions,dumbfounded
637,confined,dumbfounding
638,conflict,dummy-proof
639,conflicted,durable
640,conflicting,duteous
641,conflicts,dutiful
642,confound,duty
643,confounded,dynamic
644,confounding,dynamite
645,confront,eager
646,confrontation,eagerly
647,confrontational,eagerness
648,confuse,ear
649,confused,early
650,confuses,earn
651,confusing,earnest
652,confusion,earnestly
653,confusions,earnestness
654,congested,ease
655,congestion,eased
656,cons,easily
657,conservative,easy
658,conspicuous,easy-going
659,conspicuously,easy-peasy
660,conspiracies,easy-street
661,conspiracy,easy-to-reach
662,conspirator,easy-to-understand
663,conspiratorial,easy-to-use
664,conspire,ebullience
665,consternation,ebullient
666,contagious,ebulliently
667,contaminate,echt
668,contaminated,eclectic
669,contaminates,eco-friendly
670,contaminating,eco-warrior
671,contamination,economic
672,contempt,economical
673,contemptible,economically
674,contemptuous,economize
675,contemptuously,ecstasy
676,contend,ecstatic
677,contention,ecstatically
678,contentious,eden
679,contort,edgy
680,contortions,edified
681,contradict,edify
682,contradiction,edifying
683,contradictory,educate
684,contrariness,educated
685,contrary,education
686,contravene,educational
687,contrive,educe
688,contrived,effective
689,controversial,effectively
690,controversy,effectual
691,convoluted,effendi
692,corrode,effervescent
693,corrosion,efficacious
694,corrosions,efficiency
695,corrosive,efficient
696,corrupt,efficiently
697,corrupted,effort
698,corrupting,effortless
699,corruption,effortlessly
700,corrupts,effulgent
701,costlier,effusion
702,costly,effusive
703,counter-productive,effusively
704,counterproductive,effusiveness
705,covetous,egalitarian
706,coward,egregious
707,cowardly,einstein
708,crabby,eirenic
709,crack,elaborate
710,cracked,elan
711,cracks,elate
712,craftily,elated
713,craftilycrafty,elatedly
714,crafty,elating
715,cramp,elation
716,cramped,electric
717,cramping,electrify
718,cranky,electrifying
719,crap,eleemosynary
720,crappy,elegance
721,craps,elegant
722,crash,elegantly
723,crashed,elevate
724,crashes,eligible
725,crashing,elite
726,crass,elixir
727,craven,elocution
728,cravenly,elohim
729,craze,elope
730,crazily,eloquence
731,craziness,eloquent
732,crazy,eloquently
733,creak,elucidate
734,creaking,emancipate
735,creaks,emancipation
736,credulous,emancipatory
737,creep,embellish
738,creeping,emblazon
739,creeps,embolden
740,creepy,embourgeoisement
741,crept,emerging
742,crime,emeritus
743,criminal,eminence
744,cringe,eminent
745,cringed,emissions
746,cringes,emollient
747,cripple,emotion
748,crippled,empathetic
749,cripples,empathic
750,crippling,empathize
751,crisis,empathy
752,critic,emphasis
753,critical,emphasize
754,criticism,emphatic
755,criticisms,employable
756,criticize,empower
757,criticized,empowered
758,criticizing,empowering
759,critics,empowerment
760,cronyism,empyreal
761,crook,enable
762,crooked,enamour
763,crooks,enamoured
764,crowded,enamouring
765,crowdedness,enchant
766,crude,enchanted
767,cruel,enchanting
768,crueler,enchantingly
769,cruelest,encomiast
770,cruelly,encore
771,cruelness,encourage
772,cruelties,encouragement
773,cruelty,encouraging
774,crumble,encouragingly
775,crumbling,endear
776,crummy,endeared
777,crumple,endearing
778,crumpled,endearment
779,crumples,endeavour
780,crush,endeavourer
781,crushed,endless
782,crushing,endorse
783,cry,endorsed
784,culpable,endorsement
785,culprit,endow
786,cumbersome,endowed
787,cunt,endure
788,cunts,enduring
789,curse,energetic
790,cursed,energize
791,curses,energizing
792,curt,energy
793,cuss,energy-efficient
794,cussed,energy-saving
795,cutthroat,enfete
796,cutting,engage
797,cynical,engaged
798,cynicism,engaging
799,daft,engross
800,daimon,engrossing
801,damage,enhance
802,damaged,enhanced
803,damages,enhancement
804,damaging,enjoy
805,damn,enjoyable
806,damnable,enjoyably
807,damnably,enjoyed
808,damnation,enjoyer
809,damned,enjoyment
810,damning,enlighten
811,damper,enlightened
812,danger,enlightening
813,dangerous,enlightenment
814,dangerousness,enlist
815,dank,enliven
816,dantean,enlivened
817,daredevil,enlivening
818,dark,ennoble
819,darken,ennobled
820,darkened,enormous
821,darker,enough
822,darkness,enrapt
823,darn,enrapture
824,dastard,enraptured
825,dastardly,enrapturing
826,daunt,enrich
827,daunting,enricher
828,dauntingly,enriching
829,dawdle,enrichment
830,daze,enshrine
831,dazed,ensorcell
832,dead,ensure
833,deadbeat,enterprise
834,deadlock,enterprising
835,deadly,entertain
836,deadweight,entertaining
837,deaf,entertainment
838,dearth,enthral
839,death,enthralled
840,debacle,enthralling
841,debase,enthrone
842,debasement,enthuse
843,debaser,enthusiasm
844,debatable,enthusiast
845,debauch,enthusiastic
846,debaucher,enthusiastically
847,debauchery,entice
848,debilitate,enticed
849,debilitating,enticing
850,debility,entire
851,debt,entrance
852,debts,entrancing
853,decadence,entrust
854,decadent,entrusted
855,decay,enunciate
856,decayed,enviable
857,decaying,enviably
858,deceit,epic
859,deceitful,epigrammatic
860,deceitfully,epiphany
861,deceitfulness,epitome
862,deceive,epitomize
863,deceiver,equable
864,deceivers,equal
865,deceiving,equality
866,deception,equalized
867,deceptive,equally
868,deceptively,equilibrium
869,declaim,equiponderant
870,decline,equipped
871,declines,equitable
872,declining,equity
873,decrement,equivalent
874,decrepit,ergonomic
875,decrepitude,erogenous
876,decry,erudite
877,defamation,escapade
878,defamations,especial
879,defamatory,espirit
880,defame,essence
881,defect,essential
882,defective,establish
883,defects,established
884,defensive,esteem
885,defiance,esteemed
886,defiant,eternal
887,defiantly,ethereal
888,deficiencies,ethic
889,deficiency,ethical
890,deficient,eulogize
891,defile,euphony
892,defiler,euphoria
893,deform,euphoriant
894,deformed,euphoric
895,defrauding,euphorically
896,defunct,eureka
897,defy,evangelist
898,degenerate,even
899,degenerately,even-handed
900,degeneration,eventful
901,degradation,evergreen
902,degrade,everlasting
903,degrading,evermore
904,degradingly,evident
905,dehumanization,evocative
906,dehumanize,evolution
907,deign,evolve
908,deject,evolving
909,dejected,exact
910,dejectedly,exalt
911,dejection,exaltation
912,delay,exalted
913,delayed,exceed
914,delaying,exceeding
915,delays,exceedingly
916,delinquency,excel
917,delinquent,excellence
918,delirious,excellent
919,delirium,excellently
920,delude,exceptional
921,deluded,exceptionally
922,deluge,excite
923,delusion,excited
924,delusional,excitedly
925,delusions,excitement
926,demanding,exciting
927,demean,excitingly
928,demeaning,exclusive
929,demented,executive
930,demential,exemplar
931,demise,exemplary
932,demolish,exhaustive
933,demolisher,exhilarate
934,demon,exhilarating
935,demoniac,exhilaratingly
936,demonic,exhilaration
937,demonize,exonerate
938,demonized,exotic
939,demonizes,expansive
940,demonizing,expectant
941,demonologist,expedite
942,demoralize,expeditious
943,demoralizing,expeditiously
944,demoralizingly,experienced
945,denial,expert
946,denied,expertise
947,denies,expertly
948,denigrate,expression
949,denounce,expressive
950,dense,exquisite
951,dent,exquisitely
952,dented,extensive
953,dents,extol
954,denunciate,extraordinaire
955,denunciation,extraordinary
956,denunciations,exuberance
957,deny,exuberant
958,denying,exuberantly
959,deplete,exude
960,deplorable,exult
961,deplorably,exultant
962,deplore,exultation
963,deploring,exultingly
964,deploringly,eye-catching
965,deprave,eyeful
966,depraved,fab
967,depravedly,fabulous
968,deprecate,fabulously
969,depress,facial
970,depressed,facile
971,depressing,facilitate
972,depressingly,facilitative
973,depression,factual
974,depressions,facultative
975,depressive,fain
976,deprive,fair
977,deprived,fairly
978,deride,fairness
979,derision,faith
980,derisive,faithful
981,derisively,faithfully
982,derisiveness,faithfulness
983,derogatory,fame
984,desecrate,famed
985,desert,family
986,desertion,famous
987,desiccate,famously
988,desiccated,fan
989,desolate,fancier
990,desolately,fancy
991,desolation,fanfare
992,despair,fantasize
993,despairing,fantastic
994,despairingly,fantastically
995,desperate,far-out
996,desperately,far-seeing
997,desperation,far-sighted
998,despicable,fare
999,despicably,fascinate
1000,despise,fascinating
1001,despised,fascinatingly
1002,despiteful,fascination
1003,despiteous,fashionable
1004,despoil,fashionably
1005,despoiler,fashionista
1006,despondence,fast
1007,despondency,fast-lane
1008,despondent,fast-paced
1009,despondently,fast-track
1010,despot,fastest
1011,despotic,fastidious
1012,despotism,fastness
1013,destitute,fatherly
1014,destitution,faultless
1015,destroy,fauntleroy
1016,destroyer,fave
1017,destruction,favour
1018,destructive,favourable
1019,desultory,favoured
1020,detached,favourite
1021,deter,fearless
1022,deteriorate,fearlessly
1023,deteriorating,feasible
1024,deterioration,feasibly
1025,deterrent,feast
1026,detest,feat
1027,detestable,feature
1028,detestably,feature-rich
1029,detested,febrile
1030,detesting,fecund
1031,detests,fecundate
1032,detract,feel-good
1033,detracted,felicitate
1034,detracting,felicitous
1035,detraction,felicity
1036,detracts,fellow-feeling
1037,detriment,fellowship
1038,detrimental,fertile
1039,deuced,fervent
1040,devastate,fervently
1041,devastated,fervid
1042,devastates,fervidly
1043,devastating,fervour
1044,devastatingly,festal
1045,devastation,festival
1046,deviant,festive
1047,deviate,festivity
1048,deviation,fetching
1049,devil,fete
1050,devilish,fete-champetre
1051,devilishly,fete-galante
1052,devilment,fever
1053,devilry,fever-pitch
1054,devious,fevered
1055,deviously,fey
1056,deviousness,fidelity
1057,devoid,fidus-achates
1058,diabolic,fiesta
1059,diabolical,fighting-fit
1060,diabolically,fine
1061,diametrically,fine-looking
1062,diatribe,fine-tune
1063,diatribes,finely
1064,dick,finesse
1065,dictator,finest
1066,dictatorial,firm
1067,die,first
1068,die-hard,first-class
1069,died,first-rate
1070,dies,fit
1071,difficult,fitting
1072,difficulties,five
1073,difficulty,five-star
1074,diffidence,flamboyant
1075,dilapidated,flash
1076,dilemma,flatter
1077,dilly-dally,flattered
1078,dim,flattering
1079,dim-witted,flatteringly
1080,diminished,flavourful
1081,dimmer,flawless
1082,ding,flawlessly
1083,dings,fledged
1084,dingy,fleet
1085,dinky,flexibility
1086,dippy,flexible
1087,dire,flourish
1088,direful,flourishing
1089,direly,flower
1090,direness,fluent
1091,dirt,fluently
1092,dirty,flush
1093,disable,flutter
1094,disabled,fly
1095,disaccord,focus
1096,disadvantage,focused
1097,disadvantaged,fond
1098,disadvantageous,fondly
1099,disadvantages,fondness
1100,disaffect,fool-proof
1101,disaffected,footloose
1102,disaffirm,for
1103,disagree,for-real
1104,disagreeable,force
1105,disagreeably,forceful
1106,disagreed,foremost
1107,disagreeing,foresee
1108,disagreement,foresight
1109,disagrees,foresighted
1110,disallow,forever
1111,disappoint,forgivable
1112,disappointed,forgive
1113,disappointing,forgiveness
1114,disappointingly,forgiving
1115,disappointment,formal
1116,disappointments,formidable
1117,disappoints,forthright
1118,disapprobation,fortified
1119,disapproval,fortify
1120,disapprove,fortifying
1121,disapproving,fortitude
1122,disarm,fortuitous
1123,disarray,fortuitously
1124,disaster,fortunate
1125,disastrous,fortunately
1126,disastrously,fortune
1127,disavow,forward
1128,disavowal,forward-thinking
1129,disbelief,foxy
1130,disbelieve,fragrant
1131,disbeliever,frank
1132,disclaim,fraternal
1133,discombobulate,free
1134,discomfit,free-spirit
1135,discomfitdiscomfort,freed
1136,discomfort,freedom
1137,discompose,freedoms
1138,disconcert,fresh
1139,disconcerted,friend
1140,disconcerting,friendliness
1141,disconcertingly,friendly
1142,disconsolate,friendship
1143,disconsolately,fringe-benefit
1144,disconsolation,frisk
1145,discontent,frisky
1146,discontented,frisson
1147,discontentedly,frolic
1148,discontinued,frolicsome
1149,discontinuity,front-page
1150,discontinuous,front-runner
1151,discord,frugal
1152,discordance,fruitful
1153,discordant,ftw
1154,discountenance,fulfil
1155,discourage,fulfilled
1156,discouragement,fulfilling
1157,discouraging,fulfilment
1158,discouragingly,fulgent
1159,discourteous,full
1160,discourteously,full-blooded
1161,discredit,full-marks
1162,discrepant,fully
1163,discriminate,fulsome
1164,discriminating,fun
1165,discrimination,fundamental
1166,discriminative,fundraiser
1167,discriminatory,funfair
1168,disdain,funky
1169,disdained,funny
1170,disdainful,future-proof
1171,disdainfully,fáilte
1172,disease,gad
1173,disenchanted,gag
1174,disengaged,gaiety
1175,disfavor,gaily
1176,disgrace,gain
1177,disgraced,gained
1178,disgraceful,gainful
1179,disgracefully,gainfully
1180,disgruntle,gains
1181,disgruntled,gala
1182,disgust,galahad
1183,disgusted,gale
1184,disgustedly,galibi
1185,disgustful,gallant
1186,disgustfully,gallantly
1187,disgusting,gallantry
1188,disgustingly,gallivant
1189,dishearten,gallus
1190,disheartening,galore
1191,dishearteningly,galvanize
1192,disheveled,game
1193,dishonest,gameplan
1194,dishonestly,gamesome
1195,dishonesty,gamine
1196,dishonor,gangbuster
1197,dishonorable,garb
1198,disillusion,gargantuan
1199,disillusioned,garland
1200,disillusionment,garnish
1201,disillusions,gastronome
1202,disinclination,gastronomy
1203,disinclined,gay
1204,disingenuous,geek
1205,disingenuously,gem
1206,disintegrate,generate
1207,disintegrated,generativity
1208,disintegrates,generosity
1209,disintegration,generous
1210,disinterest,generously
1211,disinterested,genial
1212,dislikable,genius
1213,dislike,genteel
1214,disliked,gentle
1215,dislikes,gentlefolk
1216,disliking,gentleman
1217,dislocated,gentlemanly
1218,disloyal,gentlewoman
1219,disloyalty,genuine
1220,dismal,germane
1221,dismally,get-at-able
1222,dismalness,gettable
1223,dismay,getter
1224,dismayed,giddy
1225,dismaying,gift
1226,dismayingly,gifted
1227,dismissive,giggle
1228,dismissively,giggling
1229,disobedience,gild
1230,disobedient,ginger
1231,disobey,gingerly
1232,disorder,girlfriend
1233,disordered,gist
1234,disorderly,give
1235,disorganized,giving
1236,disorient,glad
1237,disoriented,glad-rags
1238,disown,gladden
1239,disparage,gladhand
1240,disparaging,gladly
1241,disparagingly,gladness
1242,disparate,glam
1243,dispassionate,glamor
1244,dispensable,glamorize
1245,dispirit,glamorous
1246,dispirited,glamour
1247,dispiritedly,glasnost
1248,dispiriting,gleam
1249,displace,gleaming
1250,displaced,glee
1251,displease,gleeful
1252,displeased,gleefully
1253,displeasing,glimmer
1254,displeasure,glimmering
1255,disproportionate,glisten
1256,disprove,glistening
1257,disputable,glister
1258,dispute,glitter
1259,disputed,glitterati
1260,disquiet,glitz
1261,disquieting,glorify
1262,disquietingly,glorious
1263,disquietude,gloriously
1264,disregard,glory
1265,disregardful,glossy
1266,disreputable,glow
1267,disrepute,glowing
1268,disrespect,glowingly
1269,disrespectable,go
1270,disrespectful,goal-oriented
1271,disrespectfully,god
1272,disrespectfulness,god-fearing
1273,disrespecting,god-given
1274,disrupt,god-send
1275,disruption,goddess
1276,disruptive,godlike
1277,dissatisfaction,godliness
1278,dissatisfactory,godly
1279,dissatisfied,god’s-gift
1280,dissatisfies,god’s-truth
1281,dissatisfy,going
1282,dissatisfying,going-that-extra-mile
1283,dissed,golconda
1284,dissemble,gold
1285,dissembler,gold-standard
1286,dissension,golden
1287,dissent,golden-goal
1288,dissenter,golden-goose
1289,dissention,golden-handcuffs
1290,disservice,golden-hello
1291,disses,golden-jubilee
1292,dissidence,golden-oldie
